record_type,record_id,entity_a,entity_b,source_a,source_b,field,value_a,value_b,severity
relationship,40,Jeffrey Epstein,Eva Dubin,corpus,doc-explorer,relationship_type,co_occurrence,sent email to,low
relationship,43,Erika Kellerhals,Jeffrey Epstein,doc-explorer,rhowardstone,relationship_type,communicated with,communicated_with,low
relationship,45,Jeffrey Epstein,Reid Hoffman,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,48,Jeffrey Epstein,Paul Morris,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,49,Jeffrey Epstein,Larry Visoski,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,50,Jeffrey Epstein,Nicole Junkermann,epstein-docs,rhowardstone,relationship_type,co_documented,communicated_with,low
relationship,51,Jeffrey Epstein,Teala Davies,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,52,Ghislaine Maxwell,Sarah Kellen,epstein-docs,rhowardstone,relationship_type,co_documented,traveled_with,low
relationship,53,Jeffrey Epstein,Hillary Clinton,corpus,doc-explorer,relationship_type,co_occurrence,disputed allegations regarding association with,low
relationship,54,Alan Dershowitz,Jeffrey Epstein,corpus,doc-explorer,relationship_type,co_occurrence,received legal advice from,low
relationship,55,Jeffrey Epstein,Leslie Wexner,doc-explorer,epstein-docs,relationship_type,acquired residence later occupied by,co_documented,low
relationship,58,Jeffrey Epstein,Richard Branson,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,59,Jeffrey Epstein,Lawrence Krauss,doc-explorer,rhowardstone,relationship_type,called,communicated_with,low
relationship,60,Jeffrey Epstein,Clare Hazell-Iveagh,epstein-docs,rhowardstone,relationship_type,co_documented,traveled_with,low
relationship,61,Jeffrey Epstein,Karyna Shuliak,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,63,Jeffrey Epstein,Peter Thiel,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,64,Jeffrey Epstein,Eva Dubin,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,67,Jeffrey Epstein,Nathan Myhrvold,epstein-docs,rhowardstone,relationship_type,co_documented,communicated_with,low
relationship,70,Jeffrey Epstein,Trump,corpus,doc-explorer,relationship_type,co_occurrence,attended event with,low
relationship,73,Jeffrey Epstein,Jennie Saunders,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,75,Jeffrey Epstein,Shelley Lewis,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,77,Jeffrey Epstein,Joi Ito,doc-explorer,rhowardstone,relationship_type,communicated with,communicated_with,low
relationship,78,Jeffrey Epstein,Reid Weingarten,epstein-docs,rhowardstone,relationship_type,co_documented,communicated_with,low
relationship,81,Jeffrey Epstein,Gary Roxburgh,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,82,Ghislaine Maxwell,Clare Hazell-Iveagh,epstein-docs,rhowardstone,relationship_type,co_documented,traveled_with,low
relationship,86,Ghislaine Maxwell,Larry Visoski,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,90,Jeffrey Epstein,Mark Lloyd,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,91,Jeffrey Epstein,Sophie Biddle,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,92,Jeffrey Epstein,Martin Weinberg,epstein-docs,rhowardstone,relationship_type,co_documented,communicated_with,low
relationship,93,Jeffrey Epstein,Steve Bannon,doc-explorer,rhowardstone,relationship_type,emailed,communicated_with,low
relationship,94,Jeffrey Epstein,Gwendolyn Beck,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,95,Jeffrey Epstein,Andrea Mitrovich,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,97,Jeffrey Epstein,Gary Kerney,corpus,rhowardstone,relationship_type,co_occurrence,associated_with,low
relationship,98,Jeffrey Epstein,Larry Summers,doc-explorer,epstein-docs,relationship_type,traveled on aircraft with,co_documented,low
relationship,99,Bradley Edwards,Paul Cassell,epstein-docs,rhowardstone,relationship_type,co_documented,communicated_with,low
relationship,103,Jeffrey Epstein,Valdson Cotrin,corpus,rhowardstone,relationship_type,co_occurrence,associated_with,low
relationship,105,Jeffrey Epstein,Steven Sinofsky,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,107,Jeffrey Epstein,David Mullen,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,108,Ghislaine Maxwell,Eva Dubin,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,112,Jeffrey Epstein,Nicholas Ribis,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,113,Jeffrey Epstein,Virginia Giuffre,corpus,doc-explorer,relationship_type,co_occurrence,traveled with,low
relationship,115,Jeffrey Epstein,Bill Hammond,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,120,Ghislaine Maxwell,Nadia Marcinkova,epstein-docs,rhowardstone,relationship_type,co_documented,traveled_with,low
relationship,123,Jeffrey Epstein,Leon Black,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,125,Jeffrey Epstein,Celina Midelfart,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,135,Ghislaine Maxwell,Virginia Giuffre,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,139,Jeffrey Epstein,Jean-Luc Brunel,epstein-docs,rhowardstone,relationship_type,co_documented,traveled_with,low
relationship,140,Ghislaine Maxwell,Larry Morrison,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,143,Darren K. Indyke,Lesley Groff,epstein-docs,rhowardstone,relationship_type,co_documented,communicated_with,low
relationship,145,Ghislaine Maxwell,Gwendolyn Beck,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,150,Ehud Barak,Jeffrey Epstein,doc-explorer,epstein-docs,relationship_type,traveled on aircraft with,co_documented,low
relationship,152,Jeffrey Epstein,Mark Tramo,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,154,Jeffrey Epstein,Adam PerryLang,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,159,Jeffrey Epstein,Mark Epstein,epstein-docs,rhowardstone,relationship_type,co_documented,communicated_with,low
relationship,161,Bradley Edwards,Jeffrey Epstein,epstein-docs,rhowardstone,relationship_type,co_documented,communicated_with,low
relationship,163,Jeffrey Epstein,Adriana Ross,corpus,doc-explorer,relationship_type,co_occurrence,traveled with,low
relationship,164,Ghislaine Maxwell,Gary Roxburgh,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,167,Elon Musk,Jeffrey Epstein,doc-explorer,rhowardstone,relationship_type,inquired about,associated_with,low
relationship,169,Eva Dubin,Jeffrey Epstein,epstein-docs,rhowardstone,relationship_type,co_documented,communicated_with,low
relationship,170,Jeffrey Epstein,Lisa Randall,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,174,Jeffrey Epstein,Susan Hamblin,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,175,Jeffrey Epstein,Tatiana Kovylina,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,178,Jeffrey Epstein,Marvin Minsky,corpus,rhowardstone,relationship_type,co_occurrence,associated_with,low
relationship,180,Jeffrey Epstein,John Brockman,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,182,Jeffrey Epstein,Stephen Kosslyn,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,184,Jeffrey Epstein,Joel Pashcow,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,185,Jeffrey Epstein,Heather Mann,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,186,Jeffrey Epstein,Alberto Pinto,epstein-docs,rhowardstone,relationship_type,co_documented,traveled_with,low
relationship,187,Jeffrey Epstein,Mandy Ellison,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,190,Alfredo Rodriguez,Jeffrey Epstein,doc-explorer,epstein-docs,relationship_type,employed staff including,co_documented,low
relationship,196,Jeffrey Epstein,Michael Ovitz,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,198,Jeffrey Epstein,Alan Dershowitz,corpus,doc-explorer,relationship_type,co_occurrence,flew with,low
relationship,199,Jeffrey Epstein,Kelly Spamm,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,200,Jeffrey Epstein,Valdson Cotrin,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,202,Ghislaine Maxwell,Alberto Pinto,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,203,Ghislaine Maxwell,Andrea Mitrovich,epstein-docs,rhowardstone,relationship_type,co_documented,traveled_with,low
relationship,209,Jeffrey Epstein,Jes Staley,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,213,Ehud Barak,Jeffrey Epstein,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,214,Jeffrey Epstein,Larry Summers,doc-explorer,rhowardstone,relationship_type,called back,communicated_with,low
relationship,216,Jeffrey Epstein,Jennifer Kalin,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,217,Jeffrey Epstein,Dana Burns,epstein-docs,rhowardstone,relationship_type,co_documented,traveled_with,low
relationship,218,Ghislaine Maxwell,Sophie Biddle,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,220,Ghislaine Maxwell,Adam PerryLang,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,221,Ghislaine Maxwell,Teala Davies,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,229,Jeffrey Epstein,Virginia Giuffre,corpus,doc-explorer,relationship_type,co_occurrence,trafficked,low
relationship,233,Alan Dershowitz,Jeffrey Epstein,corpus,doc-explorer,relationship_type,co_occurrence,called for legal advice,low
relationship,240,Jeffrey Epstein,Linda Pinto,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,242,Ghislaine Maxwell,Kelly Spamm,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,252,Jeffrey Epstein,Doug Schoettle,corpus,rhowardstone,relationship_type,co_occurrence,associated_with,low
relationship,265,Ghislaine Maxwell,Jean-Luc Brunel,epstein-docs,rhowardstone,relationship_type,co_documented,traveled_with,low
relationship,267,Ghislaine Maxwell,Linda Pinto,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,268,Ghislaine Maxwell,Tiffany Gramza,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,287,Jeffrey Epstein,Alberto Pinto,corpus,rhowardstone,relationship_type,co_occurrence,associated_with,low
relationship,289,Michael Thomas,Jeffrey Epstein,epstein-docs,rhowardstone,relationship_type,co_documented,associated_with,low
relationship,292,Jeffrey Epstein,Michael Wolff,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,297,Jeffrey Epstein,Hillary Clinton,corpus,doc-explorer,relationship_type,co_occurrence,traveled with,low
relationship,299,Jeffrey Epstein,Lynn Forester,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,301,Jeffrey Epstein,Ed Tuttle,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,303,Jeffrey Epstein,Doug Band,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,304,Jeffrey Epstein,Aline Weber,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,307,Alan Dershowitz,Larry Visoski,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,308,Sarah Kellen,Hillary Clinton,doc-explorer,rhowardstone,relationship_type,flew with,traveled_with,low
relationship,313,Hillary Clinton,Doug Band,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,334,Jeffrey Epstein,Ghislaine Maxwell,doc-explorer,rhowardstone,relationship_type,communicated with,communicated_with,low
relationship,335,Jeffrey Epstein,David Mullen,corpus,rhowardstone,relationship_type,co_occurrence,associated_with,low
relationship,348,Daniel Siad,Jeffrey Epstein,doc-explorer,rhowardstone,relationship_type,communicated with,communicated_with,low
relationship,359,Jeffrey Epstein,Jeff Schantz,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,366,Jeffrey Epstein,Natalya Malyshov,epstein-docs,rhowardstone,relationship_type,co_documented,traveled_with,low
relationship,368,Jeffrey Epstein,Igor Zinoviev,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,374,Ghislaine Maxwell,Doug Band,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,410,Jeffrey Epstein,Anthony Barrett,corpus,rhowardstone,relationship_type,co_occurrence,associated_with,low
relationship,411,Jeffrey Epstein,Joe Pagano,corpus,rhowardstone,relationship_type,co_occurrence,associated_with,low
relationship,424,Jeffrey Epstein,Tancredi Marchiolo,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,427,Jeffrey Epstein,"Andrew, Duke of York",corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,428,Jeffrey Epstein,Passenger (1),corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,432,Jeffrey Epstein,Felicia Taylor,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,434,Jeffrey Epstein,Jack Robertson,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,435,Jeffrey Epstein,Doug Schoettle,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,439,Jeffrey Epstein,Shannon Healy,epstein-docs,rhowardstone,relationship_type,co_documented,traveled_with,low
relationship,441,Jeffrey Epstein,Lynn Fontanella,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,442,Jeffrey Epstein,Joe Pagano,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,443,Jeffrey Epstein,Larry Summers,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,446,Jeffrey Epstein,Shelly Harrison,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,447,Jeffrey Epstein,Peter Marino,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,449,Jeffrey Epstein,Henry Jarecki,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,454,Ghislaine Maxwell,Doug Schoettle,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,457,Ghislaine Maxwell,Ed Tuttle,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,458,Ghislaine Maxwell,Henry Jarecki,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,459,Ghislaine Maxwell,Sheridan Gibson,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,497,Jeffrey Epstein,"Andrew, Duke of York",corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,499,Jeffrey Epstein,Lynn Forester,corpus,rhowardstone,relationship_type,co_occurrence,associated_with,low
relationship,500,Jeffrey Epstein,Linda Pinto,doc-explorer,rhowardstone,relationship_type,sent email to,associated_with,low
relationship,501,Jeffrey Epstein,Henry Jarecki,corpus,rhowardstone,relationship_type,co_occurrence,associated_with,low
relationship,502,"Inmate Reyes, Efrain",Jeffrey Epstein,epstein-docs,rhowardstone,relationship_type,co_documented,associated_with,low
relationship,503,Jeffrey Epstein,Martin Nowak,epstein-docs,rhowardstone,relationship_type,co_documented,communicated_with,low
relationship,506,Jeffrey Epstein,Josh Harris,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,508,Jeffrey Epstein,Tim Zagat,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,517,Alan Dershowitz,Harry Beller,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,518,Jeffrey Epstein,Roy Black,doc-explorer,epstein-docs,relationship_type,called,co_documented,low
relationship,520,Jeffrey Epstein,Marvin Minsky,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,526,Jeffrey Epstein,Ira Zicherman,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,535,Jeffrey Epstein,Anthony Barrett,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,538,Jeffrey Epstein,Gary Kerney,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,540,Jeffrey Epstein,Warren Spector,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,544,Jeffrey Epstein,Oliver Sachs,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,547,Jeffrey Epstein,Nadia Bjorlin,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,554,Jeffrey Epstein,Marvin Minsky,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,559,Jeffrey Epstein,Chauntae Davies,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,562,Jeffrey Epstein,Ira Magaziner,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,570,Ghislaine Maxwell,"Andrew, Duke of York",doc-explorer,epstein-docs,relationship_type,met and subsequently traveled with,co_documented,low
relationship,581,Ghislaine Maxwell,Gary Kerney,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,585,Ghislaine Maxwell,Nadia Bjorlin,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,587,Ghislaine Maxwell,Shannon Healy,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,589,Ghislaine Maxwell,Joe Pagano,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,591,Ghislaine Maxwell,Shelly Harrison,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,593,Ghislaine Maxwell,Marvin Minsky,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,598,Ghislaine Maxwell,Ira Magaziner,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,600,Ghislaine Maxwell,David Mullen,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,601,Ghislaine Maxwell,Tatiana Kovylina,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,763,Jeffrey Epstein,Harvey Weinstein,doc-explorer,epstein-docs,relationship_type,received phone messages referencing,co_documented,low
relationship,764,Jeffrey Epstein,Bill Gates,doc-explorer,rhowardstone,relationship_type,was advised on rehabilitation by,associated_with,low
relationship,765,Jeffrey Epstein,Warren Spector,corpus,rhowardstone,relationship_type,co_occurrence,associated_with,low
relationship,766,Jeffrey Epstein,Jennifer Kalin,corpus,rhowardstone,relationship_type,co_occurrence,associated_with,low
relationship,767,Jeffrey Epstein,Igor Zinoviev,corpus,rhowardstone,relationship_type,co_occurrence,associated_with,low
relationship,771,Alexander Acosta,Jay Lefkowitz,doc-explorer,epstein-docs,relationship_type,called,co_documented,low
relationship,779,Jay Lefkowitz,Jeffrey Epstein,epstein-docs,rhowardstone,relationship_type,co_documented,communicated_with,low
relationship,783,Alan Dershowitz,Martin Weinberg,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,785,Jeffrey Epstein,Stuart Hameroff,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,789,Jeffrey Epstein,Katie Couric,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,791,Jeffrey Epstein,Kenneth Starr,epstein-docs,rhowardstone,relationship_type,co_documented,communicated_with,low
relationship,794,Jeffrey Epstein,Mary Erdoes,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,797,Jeffrey Epstein,Robert Trivers,corpus,rhowardstone,relationship_type,co_occurrence,communicated_with,low
relationship,809,Jeffrey Epstein,Matt Grippi,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,815,Jeffrey Epstein,Stephen Schwarzman's wife Christine,epstein-docs,rhowardstone,relationship_type,co_documented,traveled_with,low
relationship,817,Jeffrey Epstein,Elizabeth Elizabeth,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,818,Jeffrey Epstein,A Teal,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,827,Jeffrey Epstein,John Glenn,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,835,Jeffrey Epstein,David Roth,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,858,Jeffrey Epstein,Gabrielle,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,859,Jeffrey Epstein,Mary Kerney,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,867,Jeffrey Epstein,"Sarah Ferguson, Duchess of York",corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,872,Jeffrey Epstein,Henry Rosovsky,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,885,Jeffrey Epstein,Helen Gurley Brown,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,889,Jeffrey Epstein,Michelle Michelle,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,894,Jeffrey Epstein,Tom Pritzker,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,895,Jeffrey Epstein,(marham,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,896,Jeffrey Epstein,Cheri Lynch,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,900,Jeffrey Epstein,Naomi Campbell,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,921,Jeffrey Epstein,Jerry Goldsmith,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,927,Jeffrey Epstein,Tom Payette,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,931,Jeffrey Epstein,Manuela Stoetter,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,932,Jeffrey Epstein,Nina Keita,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,933,Jeffrey Epstein,Forrest Sawyer,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,940,Jeffrey Epstein,Steve Miller,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,948,Jeffrey Epstein,Adrian Mucinska,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,950,Jeffrey Epstein,Sandy Berger,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,952,Jeffrey Epstein,Juan Pablo Molyneux,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,953,Ghislaine Maxwell,Alan Dershowitz,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,954,Ghislaine Maxwell,Trump,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,962,Ghislaine Maxwell,Stephen Schwarzman's wife Christine,epstein-docs,rhowardstone,relationship_type,co_documented,traveled_with,low
relationship,963,Ghislaine Maxwell,Passenger (1),corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,965,Ghislaine Maxwell,Ira Zicherman,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,970,Ghislaine Maxwell,Jeff Schantz,epstein-docs,rhowardstone,relationship_type,co_documented,traveled_with,low
relationship,981,Ghislaine Maxwell,Lynn Forester,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,991,Ghislaine Maxwell,Warren Spector,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,999,Ghislaine Maxwell,Larry Summers,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,1014,Ghislaine Maxwell,Tom Pritzker,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
relationship,1015,Ghislaine Maxwell,(marham,corpus,rhowardstone,relationship_type,co_occurrence,traveled_with,low
